goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos/queues
BenchmarkClassification2/Regular-100-10-400-1-8     	 1811193	       660 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-100-10-400-10-8    	  170821	      7057 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-100-10-400-100-8   	   16954	     71063 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-100-10-400-1000-8  	    1704	    705108 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-2-1-8      	  656948	      1784 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-2-10-8     	   65403	     18337 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-2-100-8    	    6471	    185072 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-2-1000-8   	     645	   1840981 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-10-1-8     	  639414	      1788 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-10-10-8    	   65654	     18254 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-10-100-8   	    6415	    184046 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-10-1000-8  	     643	   1850144 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-100-1-8    	  655046	      1789 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-100-10-8   	   65228	     18392 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-100-100-8  	    6376	    183723 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-100-1000-8 	     648	   1839415 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-255-1-8    	  669885	      1788 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-255-10-8   	   65330	     18181 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-255-100-8  	    6361	    185021 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-255-1000-8 	     649	   1844540 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-400-1-8    	  671746	      1797 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-400-10-8   	   65606	     18412 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-400-100-8  	    6535	    183140 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-400-1000-8 	     654	   1827912 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Cacheless-1-10-2-1-8       	 8287389	       141 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification2/Cacheless-1-10-2-10-8      	  832381	      1446 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification2/Cacheless-1-10-2-100-8     	   81873	     14623 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification2/Cacheless-1-10-2-1000-8    	    7834	    149030 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification2/Cacheless-1-10-10-1-8      	 8521490	       148 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification2/Cacheless-1-10-10-10-8     	  826024	      1434 ns/op	       0 B/op	       0 allocs/op
