go test -benchmem -run=xxx -bench=BenchmarkQueueSinglePacketBlockingDiffNo -timeout 60m
goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos
BenchmarkQueueSinglePacketBlockingDiffNo/Len50-8        	    3900	    897769 ns/op	    2405 B/op	      50 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len51-8        	    1801	    916996 ns/op	    2455 B/op	      51 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len52-8        	    1190	    913889 ns/op	    2501 B/op	      52 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len53-8        	    1240	    939231 ns/op	    2549 B/op	      53 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len54-8        	    1220	    982075 ns/op	    2603 B/op	      54 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len55-8        	    1272	    978831 ns/op	    2645 B/op	      55 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len56-8        	    1212	    986039 ns/op	    2693 B/op	      56 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len57-8        	    1200	   1006575 ns/op	    2741 B/op	      57 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len58-8        	    1340	   1017335 ns/op	    2789 B/op	      58 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len59-8        	    1239	   1059556 ns/op	    2837 B/op	      59 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len60-8        	    1213	   1077263 ns/op	    2891 B/op	      60 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len61-8        	    1233	   1107368 ns/op	    2933 B/op	      61 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len62-8        	    1222	   1095817 ns/op	    2987 B/op	      62 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len63-8        	     927	   1117517 ns/op	    3031 B/op	      63 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len64-8        	    1230	   1148397 ns/op	    3077 B/op	      64 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len65-8        	     926	   1146264 ns/op	    3127 B/op	      65 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len66-8        	    1209	   1192450 ns/op	    3178 B/op	      66 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len67-8        	    1221	   1206037 ns/op	    3221 B/op	      67 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len68-8        	     937	   1207006 ns/op	    3271 B/op	      68 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len69-8        	     903	   1208780 ns/op	    3319 B/op	      69 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len70-8        	     936	   1245524 ns/op	    3367 B/op	      70 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len71-8        	     931	   1263678 ns/op	    3423 B/op	      71 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len72-8        	     920	   1268508 ns/op	    3463 B/op	      72 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len73-8        	    1435	   1296223 ns/op	    3513 B/op	      73 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len74-8        	     944	   1343915 ns/op	    3559 B/op	      74 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len75-8        	     931	   1314415 ns/op	    3607 B/op	      75 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len76-8        	     920	   1386835 ns/op	    3656 B/op	      76 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len77-8        	     891	   1353000 ns/op	    3703 B/op	      77 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len78-8        	     934	   1426593 ns/op	    3759 B/op	      78 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len79-8        	     918	   1414948 ns/op	    3800 B/op	      79 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len80-8        	     942	   1440291 ns/op	    3855 B/op	      80 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len81-8        	     902	   1445238 ns/op	    3895 B/op	      81 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len82-8        	     944	   1480540 ns/op	    3951 B/op	      82 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len83-8        	     928	   1490163 ns/op	    3991 B/op	      83 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len84-8        	     752	   1490480 ns/op	    4041 B/op	      84 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len85-8        	     901	   1530069 ns/op	    4096 B/op	      85 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len86-8        	     892	   1538182 ns/op	    4135 B/op	      86 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len87-8        	     751	   1543369 ns/op	    4194 B/op	      87 allocs/op
