BenchmarkClassification1/Regular-100-1-400-10-8    	  175239	      6866 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-100-1-400-100-8   	   17059	     70544 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-100-1-400-1000-8  	    1700	    713923 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-2-1-8      	  674497	      1788 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-2-10-8     	   64533	     18408 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-2-100-8    	    6198	    185792 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-2-1000-8   	     646	   1842364 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-10-1-8     	  661879	      1790 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-10-10-8    	   65721	     18373 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-10-100-8   	    6482	    185594 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-10-1000-8  	     643	   1842662 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-100-1-8    	  674922	      1778 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-100-10-8   	   65860	     18197 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-100-100-8  	    6410	    182522 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-100-1000-8 	     652	   1834126 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-255-1-8    	  667725	      1789 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-255-10-8   	   64406	     18298 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-255-100-8  	    6542	    183985 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-255-1000-8 	     643	   1838637 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-400-1-8    	  657331	      1784 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-400-10-8   	   65919	     18410 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-400-100-8  	    6574	    182682 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-400-1000-8 	     654	   1836890 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-1-8       	 8506267	       141 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-10-8      	  787021	      1536 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-100-8     	   82502	     14543 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-1000-8    	    8094	    145685 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-10-1-8      	 8388000	       141 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-10-10-8     	  819966	      1440 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-10-100-8    	   82767	     14560 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-10-1000-8   	    8193	    144331 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-100-1-8     	 8427310	       143 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-100-10-8    	  812941	      1430 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-100-100-8   	   81032	     14652 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-100-1000-8  	    7686	    144913 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-255-1-8     	 8327443	       141 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-255-10-8    	  799849	      1458 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-255-100-8   	   82078	     14445 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-255-1000-8  	    7353	    146203 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-400-1-8     	 8454006	       142 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-400-10-8    	  828538	      1435 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-400-100-8   	   81936	     14602 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-400-1000-8  	    8148	    145861 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-2-1-8      	 6723670	       178 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-2-10-8     	  677344	      1783 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-2-100-8    	   66486	     17593 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-2-1000-8   	    6379	    188194 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-10-1-8     	 7164838	       167 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-10-10-8    	  665854	      1717 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-10-100-8   	   63454	     18539 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-10-1000-8  	    6310	    214845 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-100-1-8    	 7140775	       169 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-100-10-8   	  653283	      1777 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-100-100-8  	   64077	     18499 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-100-1000-8 	    6601	    182970 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-255-1-8    	 7062247	       167 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-255-10-8   	  605695	      1765 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-255-100-8  	   64410	     18654 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-255-1000-8 	    6376	    184050 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-400-1-8    	 7224765	       166 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-400-10-8   	  702813	      1706 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-400-100-8  	   65602	     18225 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-10-1-400-1000-8 	    6219	    196763 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-2-1-8     	 3565267	       340 ns/op	       0 B/op	       0 allocs/op
