BenchmarkClassification4/Regular-1-1000-2-1-8         	 2536780	       469 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification4/Regular-1-1000-2-10-8        	  246369	      4896 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification4/Regular-1-1000-2-100-8       	   24314	     49040 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification4/Regular-1-1000-2-1000-8      	    2426	    493549 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification4/Regular-1-1000-10-1-8        	 2592396	       467 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification4/Regular-1-1000-10-10-8       	  241546	      4995 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification4/Regular-1-1000-10-100-8      	   24424	     49514 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification4/Regular-1-1000-10-1000-8     	    2402	    499894 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification4/Regular-1-1000-100-1-8       	 2583775	       470 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification4/Regular-1-1000-100-10-8      	  242517	      4949 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification4/Regular-1-1000-100-100-8     	   24718	     49254 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification4/Regular-1-1000-100-1000-8    	    2390	    493431 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification4/Regular-1-1000-255-1-8       	 2606790	       458 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification4/Regular-1-1000-255-10-8      	  242626	      4975 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification4/Regular-1-1000-255-100-8     	   24559	     48919 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification4/Regular-1-1000-255-1000-8    	    2340	    499187 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification4/Regular-1-1000-400-1-8       	 2653822	       455 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification4/Regular-1-1000-400-10-8      	  247279	      4880 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification4/Regular-1-1000-400-100-8     	   24690	     48095 ns/op	    6400 B/op	     200 allocs/op
