Using path:
  Hops: [1-ff00:0:130 1004>2 1-ff00:0:110] MTU: 1472, NextHop: [fd00:f00d:cafe::7f00:29]:31118
120 bytes from 1-ff00:0:110,[::] scmp_seq=85 time=,9.947ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=86 time=,8.947ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=87 time=,646µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=88 time=,742µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=89 time=,683µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=90 time=,600µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=91 time=,771µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=92 time=,789µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=93 time=,639µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=94 time=,760µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=95 time=,695µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=96 time=,730µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=97 time=,705µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=98 time=,780µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=99 time=,738µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=100 time=,732µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=101 time=,684µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=102 time=,615µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=103 time=,720µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=104 time=,825µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=105 time=,675µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=106 time=,5.398ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=107 time=,5.249ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=108 time=,4.334ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=109 time=,3.334ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=110 time=,2.628ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=111 time=,1.679ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=112 time=,845µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=113 time=,561µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=114 time=,623µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=115 time=,679µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=116 time=,669µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=117 time=,644µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=118 time=,634µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=119 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=120 time=,729µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=121 time=,659µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=122 time=,757µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=123 time=,648µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=124 time=,841µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=125 time=,636µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=126 time=,720µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=127 time=,679µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=128 time=,760µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=129 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=130 time=,783µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=131 time=,574µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=132 time=,661µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=133 time=,796µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=134 time=,761µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=135 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=136 time=,774µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=137 time=,720µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=138 time=,671µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=139 time=,630µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=140 time=,811µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=141 time=,756µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=142 time=,781µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=143 time=,697µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=144 time=,759µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=145 time=,663µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=146 time=,725µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=147 time=,659µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=148 time=,663µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=149 time=,672µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=150 time=,677µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=151 time=,611µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=152 time=,710µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=153 time=,728µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=154 time=,627µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=155 time=,731µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=156 time=,616µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=157 time=,785µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=158 time=,786µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=159 time=,660µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=160 time=,760µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=161 time=,672µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=162 time=,684µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=163 time=,784µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=164 time=,565µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=165 time=,677µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=166 time=,668µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=167 time=,827µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=168 time=,614µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=169 time=,775µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=170 time=,568µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=171 time=,861µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=172 time=,551µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=173 time=,695µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=174 time=,646µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=175 time=,1.233ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=176 time=,1.018ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=177 time=,663µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=178 time=,697µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=179 time=,1.908ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=180 time=,1.428ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=181 time=,773µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=182 time=,806µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=183 time=,597µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=184 time=,2.392ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=185 time=,1.108ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=186 time=,507µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=187 time=,610µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=188 time=,683µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=189 time=,726µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=190 time=,1.288ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=191 time=,868µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=192 time=,1.585ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=193 time=,1.09ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=194 time=,803µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=195 time=,687µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=196 time=,715µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=197 time=,884µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=198 time=,2.326ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=199 time=,2.497ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=200 time=,1.837ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=201 time=,1.032ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=202 time=,622µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=203 time=,587µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=204 time=,616µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=205 time=,536µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=206 time=,737µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=207 time=,672µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=208 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=209 time=,1.53ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=210 time=,891µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=211 time=,619µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=212 time=,821µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=213 time=,877µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=214 time=,702µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=215 time=,5.797ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=216 time=,4.798ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=217 time=,3.884ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=218 time=,3.046ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=219 time=,2.154ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=220 time=,1.156ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=221 time=,542µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=222 time=,652µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=223 time=,12.542ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=224 time=,12.337ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=225 time=,11.393ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=226 time=,10.407ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=227 time=,9.403ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=228 time=,8.429ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=229 time=,7.478ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=230 time=,6.454ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=231 time=,5.457ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=232 time=,4.29ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=233 time=,3.472ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=234 time=,2.488ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=235 time=,1.51ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=236 time=,1.346ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=237 time=,558µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=238 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=239 time=,671µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=240 time=,653µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=241 time=,722µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=242 time=,869µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=243 time=,612µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=244 time=,771µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=245 time=,723µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=246 time=,709µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=247 time=,896µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=248 time=,1.165ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=249 time=,1.009ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=250 time=,817µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=251 time=,965µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=252 time=,1.169ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=253 time=,901µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=254 time=,580µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=255 time=,671µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=256 time=,665µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=257 time=,688µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=258 time=,1.474ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=259 time=,1.032ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=260 time=,1.306ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=261 time=,1.267ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=262 time=,1.076ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=263 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=264 time=,623µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=265 time=,1.016ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=266 time=,550µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=267 time=,801µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=268 time=,602µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=269 time=,674µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=270 time=,697µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=271 time=,671µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=272 time=,7.066ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=273 time=,6.129ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=274 time=,5.072ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=275 time=,4.208ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=276 time=,3.177ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=277 time=,2.159ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=278 time=,1.196ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=279 time=,561µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=280 time=,854µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=281 time=,1.775ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=282 time=,806µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=283 time=,726µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=284 time=,717µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=285 time=,636µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=286 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=287 time=,744µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=288 time=,684µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=289 time=,652µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=290 time=,593µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=291 time=,659µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=292 time=,681µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=293 time=,715µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=294 time=,676µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=295 time=,581µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=296 time=,642µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=297 time=,711µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=298 time=,619µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=299 time=,775µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=300 time=,753µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=301 time=,680µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=302 time=,811µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=303 time=,769µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=304 time=,678µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=305 time=,739µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=306 time=,690µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=307 time=,688µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=308 time=,637µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=309 time=,677µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=310 time=,738µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=311 time=,584µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=312 time=,750µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=313 time=,641µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=314 time=,683µs
